Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Status
1,Unpolarized capacitor,C,C3 C4 C9 C10 C11 C12 C17 C18 C19 C20 C30 C34 C41,0.1uF,C_0603,13,1276-1258-1-ND,
2,Unpolarized capacitor,C,C24 C26 C32,10uF,C_0805,3,1276-2399-1-ND,
3,Unpolarized capacitor,C,C1 C2 C5 C6 C7 C8 C13 C14 C15 C16 C21 C22 C23 C25 C27 C28 C29 C31 C33 C35 C36 C39 C40,1uF,C_0603,23,1276-6524-1-ND,
4,Unpolarized capacitor,C,C37 C38,22pF,C_0603,2,311-3925-1-ND,
5,LED generic,LED,D1,BLUE,LED_0805,1,732-4982-1-ND,
6,LED generic,LED,D3 D4,ORNGE,LED_0805,2,160-1413-1-ND,
7,LED generic,LED,D2,RED,LED_0805,1,732-4984-1-ND,
8,"Fuse, generic",Fuse,F1,500mA,Fuse_SMD1206_HandSoldering,1,507-1075-1-ND,
9,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x01,J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14 J15 J16 J17 J18 J19 J20 J21 J22 J23 J24 J25 J26 J27,Conn_01x01,RingTerminal,27,36-7770-ND,
10,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J29,Conn_02x05_Odd_Even,20021111-00010T4LF,1,609-3712-ND,
11,USB Mini Type B connector,USB_B_Mini,J28,USB_B_Mini,32005-201,1,151-1206-1-ND,
12,Ferrite bead,Ferrite_Bead,L1 L2,Ferrite_Bead,L_0805,2,490-9706-1-ND,
13,Resistor US symbol,R_US,R15,10k,R_0603,1,RNCP0603FTD10K0CT-ND,
14,Resistor US symbol,R_US,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R14,1k,R_0603,12,RNCP0603FTD1K00CT-ND,
15,Resistor US symbol,R_US,R12,330,R_0603,1,RHM330DCT-ND,
16,Resistor US symbol,R_US,R13,680,R_0603,1,RHM680DCT-ND,
17,"Push button switch, generic, two pins",SW_Push,SW1,SW_Push,SW_SPST_EVQPE1,1,401-1707-1-ND,
18,,ACS711,U1 U2 U3 U4 U5 U6 U7 U8 U9 U10,ACS711,ACS711,10,620-1482-1-ND,
19,IC MCU 32BIT 64KB FLASH 48QFN,ATSAMD21E16L-MFT,U12,ATSAMD21E16L-MFT,QFN-32-1EP_5x5mm,1,1611-ATSAMD21E16L-MFTCT-ND,Active
20,"200 mA Low Dropout Voltage Regulator, Fixed Output 1.8V, SOT-23-5",TLV70018_SOT23-5,U11,TLV733P,SOT-23-5,1,296-40673-1-ND,
21,Two pin crystal,Crystal,Y1,32.7680kHz,Crystal_SMD_3215-2pin_3.2x1.5mm,1,887-2605-1-ND,





Component Groups:,21
Component Count:,106
Fitted Components:,106
Number of PCBs:,1
Total components:,106
Schematic Version:,
Schematic Date:,
BoM Date:,2018-10-28 9:58:32 PM
Schematic Source:,D:\ROV 2019\Github\2019\PCBs\Power Distribution Board\Power Distribution Board.sch
KiCad Version:,Eeschema (5.0.0)
