Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digikey,Status
1,Unpolarized capacitor,C,C107 C202 C207 C401 C402 C501 C502 C803 C804 C809 C813,0.1uF,C_0805,11,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,311-1140-1-ND,
2,Unpolarized capacitor,C,C105 C201 C203 C801 C805 C807 C810,10uF,C_0805,7,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/07/23/CL21B106KOQNNNE.pdf,1276-2872-1-ND,
3,Unpolarized capacitor,C,C103 C106 C204 C701 C806,1uF,C_0805,5,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/07/23/CL21B105KBFNNNG.pdf,1276-6470-1-ND,
4,Unpolarized capacitor,C,C802,2.2nF,C_0805,1,~,587-1293-1-ND,
5,Unpolarized capacitor,C,C808 C811 C812,2.2uF,C_0805,3,~,587-1293-1-ND,
6,Unpolarized capacitor,C,C101 C102 C104,220uF,CP_Radial_D6.3mm_P2.50mm,3,https://content.kemet.com/datasheets/KEM_A4067_A750.pdf,399-13664-ND,
7,Unpolarized capacitor,C,C205 C206,22pF,C_0603,2,311-3925-1-ND,,
8,Light emitting diode,LED,D101,BLUE,LED_0805,1,https://katalog.we-online.de/led/datasheet/150080BS75000.pdf,732-4982-1-ND,
9,Light emitting diode,LED,D202,ORNGE,LED_0805,1,160-1413-1-ND,,
10,Light emitting diode,LED,D201,RED,LED_0805,1,732-4984-1-ND,,
11,Fuse,Fuse,F101,500mA,Fuse_SMD1206_Reflow,1,https://belfuse.com/resources/datasheets/circuitprotection/ds-cp-c1q-series.pdf,507-1075-1-ND,
12,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J301 J302 J801,Conn_01x02,1x2_molex_llc_new,3,~,WM4800-ND,
13,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J701 J703,Conn_01x03,1x3_molex_llc,2,~,WM4801-ND,
14,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J702,Conn_01x04,1x4_molex_llc,1,~,WM4802-ND,
15,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J201,Conn_02x05_Odd_Even,Pin_Header_Straight_2x05_Pitch1.27mm,1,609-3712-ND,,
16,"Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x01,J101 J102 J401 J402 J403 J404 J501 J502 J503 J504,Screw Terminal,RingTerminal,10,~,36-7770-ND,
17,USB Mini Type B connector,USB_B_Mini,J103,USB_B_Mini,32005-201,1,~,151-1206-1-ND,
18,Ferrite bead,Ferrite_Bead,L201 L202,Ferrite_Bead,L_0805,2,490-9706-1-ND,,
19,"N-MOSFET transistor, drain/gate/source",Q_NMOS_DGS,Q301 Q302,Q_NMOS_DGS,TRANS_DMN2020UFCL-7,2,https://www.digikey.ca/product-detail/en/diodes-incorporated/DMN2020UFCL-7/DMN2020UFCL-7DICT-ND/4794805,,
20,"Resistor, US symbol",R_US,R401 R402 R501 R502,0.5,R_1206,4,~,CSR1206FKR500CT-ND,
21,"Resistor, US symbol",R_US,R202 R204 R205,10k,R_0805,3,RNCP0805FTD10K0CT-ND,,
22,"Resistor, US symbol",R_US,R101,1k,R_0805,1,http://www.yageo.com/documents/recent/PYu-RT_1-to-0.01_RoHS_L_9.pdf,YAG1820CT-ND,
23,Resistor,R,R802,1k,R_0805,1,~,RR12P1.0KDCT-ND,
24,Resistor,R,R803,2.2k,R_0805,1,~,311-2.20KCRCT-ND,
25,Resistor,R,R807,20k,R_0805,1,~,A126349CT-ND,
26,"Resistor, US symbol",R_US,R702,25k,R_0805,1,~,A121556CT-ND,
27,Resistor,R,R804 R806,30k,R_0805,2,~,A126360CT-ND,
28,"Resistor, US symbol",R_US,R201,330,R_0805,1,RHM330DCT-ND,,
29,Resistor,R,R808,33k,R_0805,1,~,RR12P33.0KDCT-ND,
30,Resistor,R,R801,4.7M,R_0805,1,~,RMCF0805FT4M70CT-ND,
31,"Resistor, US symbol",R_US,R703,4.7k,R_0805,1,~,311-4.70KCRCT-ND,
32,"Resistor, US symbol",R_US,R203,680,R_0805,1,RHM680DCT-ND,,
33,"Resistor, US symbol",R_US,R701,75k,R_0805,1,~,YAG3750CT-ND,
34,Resistor,R,R805,75k,R_0805,1,~,YAG3750CT-ND,
35,"Potentiometer, US symbol",R_POT_US,RV801,5k,Potentiometer_Trimmer_Bourns_3296W,1,https://www.digikey.ca/product-detail/en/bourns-inc/3296W-1-502LF/3296W-502LF-ND/1088058,490-2888-ND,
36,"Push button switch, generic, two pins",SW_Push,SW201,SW_Push,SW_SPST_EVQPE1,1,401-1707-1-ND,,
37,,74LVC2G14-EER,U401 U501,74LVC2G14,PSON50P140X100X40-6N,2,https://www.digikey.ca/product-detail/en/diodes-incorporated/74LVC2G14FZ4-7/74LVC2G14FZ4-7DICT-ND/2901046,,
38,,ADA_IMU-EER,U701,ADA_IMU,IMU,1,,,
39,IC MCU 32BIT 64KB FLASH 48QFN,ATSAMD21E18A-MFT,U201,ATSAMD21E18A-MFTCT-ND,QFN-32-1EP_5x5mm,1,ATSAMD21E18A-MFTCT-ND,,Active
40,"4.5MHz, BiMOS Operational Amplifier with MOSFET Input/Bipolar Output, DIP-8/SOIC-8",CA3140,U801,CA3140AM,SOIC-8-N,1,https://www.digikey.ca/product-detail/en/renesas-electronics-america-inc/CA3140AMZ/CA3140AMZ-ND/821387,CA3140AMZ-ND,
41,"Switched capacitor inverter, inverts positive voltage +2.7 to +5.5V to negative, 200 mA, SOT-23-6",LM2776,U802,LM2776,SOT-23-6,1,https://www.digikey.ca/product-detail/en/texas-instruments/LM2776DBVR/296-43957-1-ND/5973203,296-43957-1-ND,
42,,LN298P-EER,U402 U502,LN298P,POWER-SO20,2,https://www.digikey.ca/product-detail/en/stmicroelectronics/L298P/497-1396-5-ND/585919,,
43,"4.5MHz, BiMOS Operational Amplifier with MOSFET Input/Bipolar Output, DIP-8/SOIC-8",CA3140,U803,TL081BCDG4,SOIC-8-N,1,https://www.digikey.ca/products/en?keywords=TL081BCDG4,296-34259-5-ND,
44,"200 mA Low Dropout Voltage Regulator, Fixed Output 1.8V, SOT-23-5",TLV70018_SOT23-5,U101,TLV733P,SOT-23-5,1,http://www.ti.com/lit/ds/symlink/tlv700.pdf,296-40673-1-ND,
45,Two pin crystal,Crystal,Y201,32.7680kHz,Crystal_SMD_3215-2pin_3.2x1.5mm,1,887-2605-1-ND,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Component Groups:,45,,,,,,,,
Component Count:,92,,,,,,,,
Fitted Components:,92,,,,,,,,
Number of PCBs:,1,,,,,,,,
Total components:,92,,,,,,,,
Schematic Version:,,,,,,,,,
Schematic Date:,,,,,,,,,
BoM Date:,13/02/2019 19:33,,,,,,,,
Schematic Source:,C:\Users\David\Documents\eastern_edge_git\2019-Electrical\PCBs\Tooling Board\Tooling Board.sch,,,,,,,,
KiCad Version:,Eeschema (5.0.1)-3,,,,,,,,
